run_accession	library_name	library_strategy	run_alias	fastq_ftp	sample_alias	sample_title
SRR11748433	FS2-1	AMPLICON	P1-FS-1_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/033/SRR11748433/SRR11748433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/033/SRR11748433/SRR11748433_2.fastq.gz	FS2-1_16S	Metagenome or environmental sample from plant metagenome
SRR11773198	Kal1-89	AMPLICON	FS-89_S12_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/098/SRR11773198/SRR11773198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/098/SRR11773198/SRR11773198_2.fastq.gz	Kal1-89_ITS	Metagenome or environmental sample from plant metagenome
SRR11773199	Kal1-65	AMPLICON	FS-65_S11_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/099/SRR11773199/SRR11773199_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/099/SRR11773199/SRR11773199_2.fastq.gz	Kal1-65_ITS	Metagenome or environmental sample from plant metagenome
SRR11773200	FS1-3	AMPLICON	FS-3_S2_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR11773200/SRR11773200_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/000/SRR11773200/SRR11773200_2.fastq.gz	FS1-3_ITS	Metagenome or environmental sample from plant metagenome
SRR11773210	Kal2-65	AMPLICON	P1-FS-65_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/010/SRR11773210/SRR11773210_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/010/SRR11773210/SRR11773210_2.fastq.gz	Kal2-65_ITS	Metagenome or environmental sample from plant metagenome
SRR11773211	Kal2-57	AMPLICON	P1-FS-57_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/011/SRR11773211/SRR11773211_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/011/SRR11773211/SRR11773211_2.fastq.gz	Kal2-57_ITS	Metagenome or environmental sample from plant metagenome
SRR11773219	FS2-10	AMPLICON	P1-FS-10_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/019/SRR11773219/SRR11773219_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/019/SRR11773219/SRR11773219_2.fastq.gz	FS2-10_ITS	Metagenome or environmental sample from plant metagenome
SRR11659628	FS1-45	WGS	FS-45_S6_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/028/SRR11659628/SRR11659628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/028/SRR11659628/SRR11659628_2.fastq.gz	FS1-45	Metagenome or environmental sample from plant metagenome
SRR11659629	FS1-43	WGS	FS-43_S5_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/029/SRR11659629/SRR11659629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/029/SRR11659629/SRR11659629_2.fastq.gz	FS1-43	Metagenome or environmental sample from plant metagenome
SRR11659630	FS1-18	WGS	FS-18_S4_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/030/SRR11659630/SRR11659630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/030/SRR11659630/SRR11659630_2.fastq.gz	FS1-18	Metagenome or environmental sample from plant metagenome
SRR11659641	FS2-10	WGS	P1-FS-10_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/041/SRR11659641/SRR11659641_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/041/SRR11659641/SRR11659641_2.fastq.gz	FS2-10	Metagenome or environmental sample from plant metagenome
SRR11659643	FS2-1	WGS	P1-FS-1_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/043/SRR11659643/SRR11659643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/043/SRR11659643/SRR11659643_2.fastq.gz	FS2-1	Metagenome or environmental sample from plant metagenome
SRR11659645	Kal1-65	WGS	FS-65_S11_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/045/SRR11659645/SRR11659645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/045/SRR11659645/SRR11659645_2.fastq.gz	Kal1-65	Metagenome or environmental sample from plant metagenome
SRR11748412	FS1-3	AMPLICON	FS-3_S2_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/012/SRR11748412/SRR11748412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/012/SRR11748412/SRR11748412_2.fastq.gz	FS1-3_16S	Metagenome or environmental sample from plant metagenome
SRR11748414	Kal1-57	AMPLICON	FS-57_S10_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/014/SRR11748414/SRR11748414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/014/SRR11748414/SRR11748414_2.fastq.gz	Kal1-57_16S	Metagenome or environmental sample from plant metagenome
SRR11748418	FS1-45	AMPLICON	FS-45_S6_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/018/SRR11748418/SRR11748418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/018/SRR11748418/SRR11748418_2.fastq.gz	FS1-45_16S	Metagenome or environmental sample from plant metagenome
SRR11748421	Kal2-89	AMPLICON	P1-FS-89_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/021/SRR11748421/SRR11748421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/021/SRR11748421/SRR11748421_2.fastq.gz	Kal2-89_16S	Metagenome or environmental sample from plant metagenome
SRR11748426	Kal2-54	AMPLICON	P1-FS-54_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/026/SRR11748426/SRR11748426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/026/SRR11748426/SRR11748426_2.fastq.gz	Kal2-54_16S	Metagenome or environmental sample from plant metagenome
SRR11748430	FS2-18	AMPLICON	P1-FS-18_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/030/SRR11748430/SRR11748430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/030/SRR11748430/SRR11748430_2.fastq.gz	FS2-18_16S	Metagenome or environmental sample from plant metagenome
SRR11748431	FS2-10	AMPLICON	P1-FS-10_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/031/SRR11748431/SRR11748431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/031/SRR11748431/SRR11748431_2.fastq.gz	FS2-10_16S	Metagenome or environmental sample from plant metagenome
SRR11748432	FS2-3	AMPLICON	P1-FS-3_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/032/SRR11748432/SRR11748432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/032/SRR11748432/SRR11748432_2.fastq.gz	FS2-3_16S	Metagenome or environmental sample from plant metagenome
SRR11773201	FS1-1	AMPLICON	FS-1_S1_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR11773201/SRR11773201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/001/SRR11773201/SRR11773201_2.fastq.gz	FS1-1_ITS	Metagenome or environmental sample from plant metagenome
SRR11773202	Kal1-57	AMPLICON	FS-57_S10_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR11773202/SRR11773202_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/002/SRR11773202/SRR11773202_2.fastq.gz	Kal1-57_ITS	Metagenome or environmental sample from plant metagenome
SRR11773204	Kal1-54	AMPLICON	FS-54_S8_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR11773204/SRR11773204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/004/SRR11773204/SRR11773204_2.fastq.gz	Kal1-54_ITS	Metagenome or environmental sample from plant metagenome
SRR11773205	Kal1-53	AMPLICON	FS-53_S7_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR11773205/SRR11773205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/005/SRR11773205/SRR11773205_2.fastq.gz	Kal1-53_ITS	Metagenome or environmental sample from plant metagenome
SRR11773207	FS1-43	AMPLICON	FS-43_S5_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR11773207/SRR11773207_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/007/SRR11773207/SRR11773207_2.fastq.gz	FS1-43_ITS	Metagenome or environmental sample from plant metagenome
SRR11773212	Kal2-55	AMPLICON	P1-FS-55_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/012/SRR11773212/SRR11773212_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/012/SRR11773212/SRR11773212_2.fastq.gz	Kal2-55_ITS	Metagenome or environmental sample from plant metagenome
SRR11773214	Kal2-54	AMPLICON	P1-FS-54_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/014/SRR11773214/SRR11773214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/014/SRR11773214/SRR11773214_2.fastq.gz	Kal2-54_ITS	Metagenome or environmental sample from plant metagenome
SRR11773215	Kal2-53	AMPLICON	P1-FS-53_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/015/SRR11773215/SRR11773215_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/015/SRR11773215/SRR11773215_2.fastq.gz	Kal2-53_ITS	Metagenome or environmental sample from plant metagenome
SRR11773216	FS2-45	AMPLICON	P1-FS-45_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/016/SRR11773216/SRR11773216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/016/SRR11773216/SRR11773216_2.fastq.gz	FS2-45_ITS	Metagenome or environmental sample from plant metagenome
SRR11773217	FS2-43	AMPLICON	P1-FS-43_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/017/SRR11773217/SRR11773217_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/017/SRR11773217/SRR11773217_2.fastq.gz	FS2-43_ITS	Metagenome or environmental sample from plant metagenome
SRR11773218	FS2-18	AMPLICON	P1-FS-18_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/018/SRR11773218/SRR11773218_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/018/SRR11773218/SRR11773218_2.fastq.gz	FS2-18_ITS	Metagenome or environmental sample from plant metagenome
SRR11773220	FS2-3	AMPLICON	P1-FS-3_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/020/SRR11773220/SRR11773220_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/020/SRR11773220/SRR11773220_2.fastq.gz	FS2-3_ITS	Metagenome or environmental sample from plant metagenome
SRR11659625	Kal1-55	WGS	FS-55_S9_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/025/SRR11659625/SRR11659625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/025/SRR11659625/SRR11659625_2.fastq.gz	Kal1-55	Metagenome or environmental sample from plant metagenome
SRR11659627	Kal1-53	WGS	FS-53_S7_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/027/SRR11659627/SRR11659627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/027/SRR11659627/SRR11659627_2.fastq.gz	Kal1-53	Metagenome or environmental sample from plant metagenome
SRR11659632	Kal2-65	WGS	P1-FS-65_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/032/SRR11659632/SRR11659632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/032/SRR11659632/SRR11659632_2.fastq.gz	Kal2-65	Metagenome or environmental sample from plant metagenome
SRR11659634	Kal2-55	WGS	P1-FS-55_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/034/SRR11659634/SRR11659634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/034/SRR11659634/SRR11659634_2.fastq.gz	Kal2-55	Metagenome or environmental sample from plant metagenome
SRR11659636	Kal2-54	WGS	P1-FS-54_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/036/SRR11659636/SRR11659636_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/036/SRR11659636/SRR11659636_2.fastq.gz	Kal2-54	Metagenome or environmental sample from plant metagenome
SRR11659638	FS2-45	WGS	P1-FS-45_R1_clipped.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/038/SRR11659638/SRR11659638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/038/SRR11659638/SRR11659638_2.fastq.gz	FS2-45	Metagenome or environmental sample from plant metagenome
SRR11659640	FS2-18	WGS	P1-FS-18_R1_clipped.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/040/SRR11659640/SRR11659640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/040/SRR11659640/SRR11659640_2.fastq.gz	FS2-18	Metagenome or environmental sample from plant metagenome
SRR11659646	FS1-3	WGS	FS-3_S2_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/046/SRR11659646/SRR11659646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR116/046/SRR11659646/SRR11659646_2.fastq.gz	FS1-3	Metagenome or environmental sample from plant metagenome
SRR11748410	Kal1-89	AMPLICON	FS-89_S12_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/010/SRR11748410/SRR11748410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/010/SRR11748410/SRR11748410_2.fastq.gz	Kal1-89_16S	Metagenome or environmental sample from plant metagenome
SRR11748413	FS1-1	AMPLICON	FS-1_S1_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/013/SRR11748413/SRR11748413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/013/SRR11748413/SRR11748413_2.fastq.gz	FS1-1_16S	Metagenome or environmental sample from plant metagenome
SRR11748417	Kal1-53	AMPLICON	FS-53_S7_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/017/SRR11748417/SRR11748417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/017/SRR11748417/SRR11748417_2.fastq.gz	Kal1-53_16S	Metagenome or environmental sample from plant metagenome
SRR11748419	FS1-43	AMPLICON	FS-43_S5_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/019/SRR11748419/SRR11748419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/019/SRR11748419/SRR11748419_2.fastq.gz	FS1-43_16S	Metagenome or environmental sample from plant metagenome
SRR11748422	Kal2-65	AMPLICON	P1-FS-65_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/022/SRR11748422/SRR11748422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/022/SRR11748422/SRR11748422_2.fastq.gz	Kal2-65_16S	Metagenome or environmental sample from plant metagenome
SRR11748423	Kal2-57	AMPLICON	P1-FS-57_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/023/SRR11748423/SRR11748423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/023/SRR11748423/SRR11748423_2.fastq.gz	Kal2-57_16S	Metagenome or environmental sample from plant metagenome
SRR11748424	Kal2-55	AMPLICON	P1-FS-55_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/024/SRR11748424/SRR11748424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/024/SRR11748424/SRR11748424_2.fastq.gz	Kal2-55_16S	Metagenome or environmental sample from plant metagenome
SRR11748425	FS1-10	AMPLICON	FS-10_S3_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/025/SRR11748425/SRR11748425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/025/SRR11748425/SRR11748425_2.fastq.gz	FS1-10_16S	Metagenome or environmental sample from plant metagenome
SRR11748429	FS2-43	AMPLICON	P1-FS-43_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/029/SRR11748429/SRR11748429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/029/SRR11748429/SRR11748429_2.fastq.gz	FS2-43_16S	Metagenome or environmental sample from plant metagenome
SRR11773203	Kal1-55	AMPLICON	FS-55_S9_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR11773203/SRR11773203_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/003/SRR11773203/SRR11773203_2.fastq.gz	Kal1-55_ITS	Metagenome or environmental sample from plant metagenome
SRR11773206	FS1-45	AMPLICON	FS-45_S6_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR11773206/SRR11773206_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/006/SRR11773206/SRR11773206_2.fastq.gz	FS1-45_ITS	Metagenome or environmental sample from plant metagenome
SRR11773208	FS1-18	AMPLICON	FS-18_S4_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR11773208/SRR11773208_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/008/SRR11773208/SRR11773208_2.fastq.gz	FS1-18_ITS	Metagenome or environmental sample from plant metagenome
SRR11773209	Kal2-89	AMPLICON	P1-FS-89_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR11773209/SRR11773209_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/009/SRR11773209/SRR11773209_2.fastq.gz	Kal2-89_ITS	Metagenome or environmental sample from plant metagenome
SRR11773213	FS1-10	AMPLICON	FS-10_S3_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/013/SRR11773213/SRR11773213_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/013/SRR11773213/SRR11773213_2.fastq.gz	FS1-10_ITS	Metagenome or environmental sample from plant metagenome
SRR11773221	FS2-1	AMPLICON	P1-FS-1_R1.fastq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/021/SRR11773221/SRR11773221_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR117/021/SRR11773221/SRR11773221_2.fastq.gz	FS2-1_ITS	Metagenome or environmental sample from plant metagenome
