feature	Akkermansia.muciniphila	Alistipes.putredinis	Anaerostipes.hadrus	Bacteroides.caccae	Bacteroides.ovatus	Bacteroides.stercoris	Bacteroides.uniformis	Bacteroides.vulgatus	Bifidobacterium.adolescentis	Bifidobacterium.bifidum	Bifidobacterium.longum	Blautia.obeum	Blautia.wexlerae	Collinsella.aerofaciens	Coprococcus.comes	Coprococcus.eutactus	Dorea.formicigenerans	Dorea.longicatena	Eubacterium.eligens	Eubacterium.hallii	Eubacterium.rectale	Eubacterium.sp.CAG.180	Eubacterium.sp.CAG.251	Eubacterium.ventriosum	Faecalibacterium.prausnitzii	Fusicatenibacter.saccharivorans	Gemmiger.formicilis	Lactobacillus.ruminis	Oscillibacter.sp.CAG.241	Parabacteroides.merdae	Prevotella.copri	Roseburia.faecis	Roseburia.intestinalis	Roseburia.inulinivorans	Ruminococcus.bicirculans	Ruminococcus.bromii	Ruminococcus.gnavus	Ruminococcus.torques	Streptococcus.salivarius
NS7	0	0	0	0	0	0	0	0	0.1	0.133333333333333	0.0666666666666667	0.0333333333333333	0	0.0666666666666667	0	0	0	0.0333333333333333	0	0.0666666666666667	0.0333333333333333	0.0333333333333333	0	0	0.3	0	0	0.0333333333333333	0	0	0.0666666666666667	0	0	0.0333333333333333	0	0	0	0	0
NS67	0.037037037037037	0	0	0	0	0	0	0	0.296296296296296	0	0	0	0.037037037037037	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0.148148148148148	0	0	0.0740740740740741	0	0	0	0	0	0.037037037037037	0.037037037037037	0	0	0.185185185185185	0.037037037037037
NS29	0	0	0.0714285714285714	0	0	0	0.0357142857142857	0.0714285714285714	0.142857142857143	0	0.142857142857143	0	0.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0.0357142857142857	0	0	0	0.178571428571429	0	0	0
NS30	0	0	0	0	0.032258064516129	0	0	0	0.0967741935483871	0	0	0	0.032258064516129	0	0	0	0	0.0645161290322581	0	0	0.225806451612903	0	0	0	0	0.032258064516129	0	0	0	0	0	0.32258064516129	0.0967741935483871	0	0	0	0	0.0967741935483871	0
NS51	0	0	0.142857142857143	0	0	0	0	0	0.0357142857142857	0	0	0	0.0357142857142857	0	0	0	0	0	0	0	0.142857142857143	0.0357142857142857	0	0	0.214285714285714	0.0714285714285714	0.0714285714285714	0	0	0	0	0	0.0357142857142857	0	0	0.107142857142857	0.0714285714285714	0.0357142857142857	0
NS81	0	0	0.0909090909090909	0	0	0	0	0	0.0303030303030303	0	0.0606060606060606	0	0	0	0	0	0	0.0303030303030303	0	0.151515151515152	0.333333333333333	0	0	0	0.0606060606060606	0.0606060606060606	0	0	0	0	0	0	0.0303030303030303	0	0	0.121212121212121	0.0303030303030303	0	0
NS55	0	0	0.0625	0	0	0	0.03125	0.03125	0	0.03125	0.03125	0.0625	0.03125	0	0	0	0	0	0	0.0625	0.0625	0	0	0.03125	0.125	0.03125	0	0	0	0	0	0	0.125	0	0	0.21875	0.03125	0.03125	0
NS86	0	0	0	0	0	0	0	0	0	0.0606060606060606	0.0303030303030303	0	0	0	0.0303030303030303	0.121212121212121	0	0	0	0	0.181818181818182	0	0.0303030303030303	0	0.333333333333333	0.0303030303030303	0	0	0	0	0.0303030303030303	0.0303030303030303	0	0.0303030303030303	0	0.0606060606060606	0	0	0.0303030303030303
NS34	0.0909090909090909	0	0	0.363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272727272727273	0	0	0	0	0	0	0	0	0	0	0.0909090909090909	0	0	0	0.181818181818182	0	0
NS11	0	0	0	0.03125	0	0	0	0.03125	0.03125	0.03125	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0.03125	0.0625	0	0.03125	0	0.03125	0.03125	0.625	0.03125	0	0	0	0	0	0	0
NS25	0	0.037037037037037	0.037037037037037	0	0.0740740740740741	0.0740740740740741	0.0740740740740741	0.222222222222222	0	0	0	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0	0	0.444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS27	0	0	0.03125	0	0.125	0	0	0.0625	0.375	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0.15625	0.0625	0	0	0	0	0	0.0625	0.0625	0	0.03125	0	0	0	0
NS32	0	0	0	0	0.0384615384615385	0	0	0	0	0	0	0	0	0	0	0.0769230769230769	0	0.0384615384615385	0	0.0384615384615385	0	0.307692307692308	0	0	0.230769230769231	0	0	0	0	0	0.192307692307692	0	0.0384615384615385	0.0384615384615385	0	0	0	0	0
NS36	0.307692307692308	0	0	0.0769230769230769	0	0.115384615384615	0.0384615384615385	0.0384615384615385	0.0384615384615385	0	0.0384615384615385	0	0	0	0	0	0	0	0	0	0	0	0.0769230769230769	0	0	0.0769230769230769	0	0	0	0.0769230769230769	0	0	0	0	0.0384615384615385	0.0769230769230769	0	0	0
NS39	0	0.0333333333333333	0.0333333333333333	0	0.0333333333333333	0.0666666666666667	0.0333333333333333	0	0.1	0.0333333333333333	0	0	0	0.0333333333333333	0	0.0333333333333333	0	0.0333333333333333	0	0	0	0	0	0	0.5	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0	0	0	0
NS4	0	0	0.0303030303030303	0	0.0606060606060606	0.0303030303030303	0	0.242424242424242	0.0303030303030303	0	0	0	0	0.0303030303030303	0	0	0	0	0.181818181818182	0	0.0909090909090909	0	0	0	0.303030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NS40	0	0	0.0357142857142857	0	0	0	0	0.0357142857142857	0.0714285714285714	0.107142857142857	0	0	0	0.0714285714285714	0.0357142857142857	0	0	0.142857142857143	0	0	0.107142857142857	0	0	0	0.285714285714286	0	0	0.0357142857142857	0	0	0.0357142857142857	0	0	0	0	0	0	0.0357142857142857	0
NS41	0	0.0625	0	0.03125	0	0	0	0.09375	0	0	0	0	0	0	0	0.03125	0	0	0	0	0.09375	0	0	0	0.1875	0	0	0	0	0.03125	0.3125	0.03125	0.09375	0.03125	0	0	0	0	0
NS77	0	0.09375	0	0	0	0	0	0.15625	0	0	0	0	0	0	0	0	0	0.03125	0	0	0	0	0	0	0.1875	0.03125	0	0	0	0	0.3125	0	0	0.15625	0	0	0.03125	0	0
NS78	0	0	0	0	0	0	0	0	0.1	0	0	0.0333333333333333	0.0333333333333333	0	0	0.1	0	0.0666666666666667	0.0666666666666667	0.133333333333333	0.166666666666667	0	0	0.0333333333333333	0.0666666666666667	0.1	0	0	0	0	0.0333333333333333	0.0333333333333333	0	0	0	0	0	0.0333333333333333	0
NS79	0	0	0.0303030303030303	0	0	0	0	0.0303030303030303	0.151515151515152	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0	0	0	0	0	0.0909090909090909	0	0	0	0	0.272727272727273	0.0606060606060606	0	0	0	0	0	0	0	0	0.0909090909090909	0.0909090909090909	0	0.0303030303030303	0
NS13	0	0	0.142857142857143	0	0	0	0.0357142857142857	0	0	0	0	0	0.0357142857142857	0	0.0357142857142857	0	0	0.0357142857142857	0	0.428571428571429	0.107142857142857	0	0	0	0.0714285714285714	0.0357142857142857	0.0357142857142857	0	0	0	0	0.0357142857142857	0	0	0	0	0	0	0
NS21	0	0	0	0	0	0	0.111111111111111	0.37037037037037	0	0	0	0	0	0	0.037037037037037	0	0	0	0	0	0	0	0	0.0740740740740741	0.259259259259259	0	0	0	0	0	0	0	0.148148148148148	0	0	0	0	0	0
NS6	0	0	0.0909090909090909	0	0	0	0.0303030303030303	0.272727272727273	0	0	0	0	0	0	0	0	0	0.0303030303030303	0	0.0909090909090909	0	0	0.0909090909090909	0	0.181818181818182	0.0303030303030303	0	0	0	0.0909090909090909	0	0	0.0303030303030303	0	0	0	0	0.0303030303030303	0.0303030303030303
