run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_strategy	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
SRR4041259	SAMN05590476	SRX2032391	PRJNA328258	408170	human gut metagenome	AMPLICON	174053638_S11_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041259/SRR4041259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041259/SRR4041259_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/009/SRR4041259	11	NS11
SRR4041260	SAMN05590477	SRX2032392	PRJNA328258	408170	human gut metagenome	AMPLICON	174053617_S12_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/000/SRR4041260/SRR4041260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/000/SRR4041260/SRR4041260_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/000/SRR4041260	12	NS12
SRR4041261	SAMN05590478	SRX2032393	PRJNA328258	408170	human gut metagenome	AMPLICON	174053614_S13_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041261/SRR4041261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041261/SRR4041261_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/001/SRR4041261	13	NS13
SRR4041263	SAMN05590480	SRX2032395	PRJNA328258	408170	human gut metagenome	AMPLICON	174053569_S16_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/003/SRR4041263/SRR4041263_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/003/SRR4041263/SRR4041263_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/003/SRR4041263	16	NS16
SRR4041265	SAMN05590482	SRX2032397	PRJNA328258	408170	human gut metagenome	AMPLICON	B01_S2_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041265/SRR4041265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041265/SRR4041265_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/005/SRR4041265	18	NS18
SRR4041266	SAMN05590483	SRX2032398	PRJNA328258	408170	human gut metagenome	AMPLICON	174053637_S19_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/006/SRR4041266/SRR4041266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/006/SRR4041266/SRR4041266_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/006/SRR4041266	19	NS19
SRR4041270	SAMN05590486	SRX2032402	PRJNA328258	408170	human gut metagenome	AMPLICON	C01_S3_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/000/SRR4041270/SRR4041270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/000/SRR4041270/SRR4041270_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/000/SRR4041270	22	NS22
SRR4041271	SAMN05590487	SRX2032403	PRJNA328258	408170	human gut metagenome	AMPLICON	174053589_S23_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041271/SRR4041271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041271/SRR4041271_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/001/SRR4041271	23	NS23
SRR4041272	SAMN05590488	SRX2032404	PRJNA328258	408170	human gut metagenome	AMPLICON	D01_S4_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/002/SRR4041272/SRR4041272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/002/SRR4041272/SRR4041272_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/002/SRR4041272	24	NS24
SRR4041274	SAMN05590490	SRX2032406	PRJNA328258	408170	human gut metagenome	AMPLICON	174053643_S26_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/004/SRR4041274/SRR4041274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/004/SRR4041274/SRR4041274_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/004/SRR4041274	26	NS26
SRR4041275	SAMN05590491	SRX2032407	PRJNA328258	408170	human gut metagenome	AMPLICON	174053636_S27_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041275/SRR4041275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041275/SRR4041275_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/005/SRR4041275	27	NS27
SRR4041279	SAMN05590495	SRX2032411	PRJNA328258	408170	human gut metagenome	AMPLICON	174053588_S31_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041279/SRR4041279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041279/SRR4041279_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/009/SRR4041279	31	NS31
SRR4041282	SAMN05590497	SRX2032414	PRJNA328258	408170	human gut metagenome	AMPLICON	174053659_S33_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/002/SRR4041282/SRR4041282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/002/SRR4041282/SRR4041282_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/002/SRR4041282	33	NS33
SRR4041291	SAMN05590470	SRX2032423	PRJNA328258	408170	human gut metagenome	AMPLICON	174053615_S5_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041291/SRR4041291_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041291/SRR4041291_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/001/SRR4041291	5	NS5
SRR4041296	SAMN05590510	SRX2032428	PRJNA328258	408170	human gut metagenome	AMPLICON	174053597_S46_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/006/SRR4041296/SRR4041296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/006/SRR4041296/SRR4041296_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/006/SRR4041296	46	NS46
SRR4041299	SAMN05590513	SRX2032431	PRJNA328258	408170	human gut metagenome	AMPLICON	174053646_S50_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041299/SRR4041299_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041299/SRR4041299_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/009/SRR4041299	50	NS50
SRR4041300	SAMN05590514	SRX2032432	PRJNA328258	408170	human gut metagenome	AMPLICON	F01_S6_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/000/SRR4041300/SRR4041300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/000/SRR4041300/SRR4041300_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/000/SRR4041300	51	NS51
SRR4041303	SAMN05590516	SRX2032435	PRJNA328258	408170	human gut metagenome	AMPLICON	G01_S7_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/003/SRR4041303/SRR4041303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/003/SRR4041303/SRR4041303_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/003/SRR4041303	53	NS53
SRR4041306	SAMN05590519	SRX2032438	PRJNA328258	408170	human gut metagenome	AMPLICON	H01_S8_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/006/SRR4041306/SRR4041306_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/006/SRR4041306/SRR4041306_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/006/SRR4041306	58	NS58
SRR4041308	SAMN05590521	SRX2032440	PRJNA328258	408170	human gut metagenome	AMPLICON	A02_S9_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/008/SRR4041308/SRR4041308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/008/SRR4041308/SRR4041308_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/008/SRR4041308	60	NS60
SRR4041310	SAMN05590523	SRX2032442	PRJNA328258	408170	human gut metagenome	AMPLICON	174053599_S62_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/000/SRR4041310/SRR4041310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/000/SRR4041310/SRR4041310_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/000/SRR4041310	62	NS62
SRR4041313	SAMN05590472	SRX2032445	PRJNA328258	408170	human gut metagenome	AMPLICON	174053591_S7_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/003/SRR4041313/SRR4041313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/003/SRR4041313/SRR4041313_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/003/SRR4041313	7	NS7
SRR4041314	SAMN05590526	SRX2032446	PRJNA328258	408170	human gut metagenome	AMPLICON	174053648_S66_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/004/SRR4041314/SRR4041314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/004/SRR4041314/SRR4041314_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/004/SRR4041314	66	NS66
SRR4041315	SAMN05590527	SRX2032447	PRJNA328258	408170	human gut metagenome	AMPLICON	C02_S11_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041315/SRR4041315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041315/SRR4041315_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/005/SRR4041315	67	NS67
SRR4041319	SAMN05590531	SRX2032451	PRJNA328258	408170	human gut metagenome	AMPLICON	E02_S13_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041319/SRR4041319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041319/SRR4041319_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/009/SRR4041319	71	NS71
SRR4041328	SAMN05590534	SRX2032460	PRJNA328258	408170	human gut metagenome	AMPLICON	H02_S16_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/008/SRR4041328/SRR4041328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/008/SRR4041328/SRR4041328_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/008/SRR4041328	74	NS74
SRR4041329	SAMN05590535	SRX2032461	PRJNA328258	408170	human gut metagenome	AMPLICON	174053601_S75_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041329/SRR4041329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041329/SRR4041329_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/009/SRR4041329	75	NS75
SRR4041331	SAMN05590536	SRX2032463	PRJNA328258	408170	human gut metagenome	AMPLICON	174053577_S76_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041331/SRR4041331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041331/SRR4041331_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/001/SRR4041331	76	NS76
SRR4041332	SAMN05590537	SRX2032464	PRJNA328258	408170	human gut metagenome	AMPLICON	174053654_S77_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/002/SRR4041332/SRR4041332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/002/SRR4041332/SRR4041332_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/002/SRR4041332	77	NS77
SRR4041334	SAMN05590539	SRX2032466	PRJNA328258	408170	human gut metagenome	AMPLICON	B03_S18_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/004/SRR4041334/SRR4041334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/004/SRR4041334/SRR4041334_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/004/SRR4041334	79	NS79
SRR4041335	SAMN05590540	SRX2032467	PRJNA328258	408170	human gut metagenome	AMPLICON	C03_S19_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041335/SRR4041335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041335/SRR4041335_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/005/SRR4041335	80	NS80
SRR4041337	SAMN05590542	SRX2032469	PRJNA328258	408170	human gut metagenome	AMPLICON	E03_S21_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/007/SRR4041337/SRR4041337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/007/SRR4041337/SRR4041337_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/007/SRR4041337	82	NS82
SRR4041339	SAMN05590544	SRX2032471	PRJNA328258	408170	human gut metagenome	AMPLICON	G03_S23_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041339/SRR4041339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041339/SRR4041339_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/009/SRR4041339	84	NS84
SRR4041341	SAMN05590474	SRX2032473	PRJNA328258	408170	human gut metagenome	AMPLICON	174053662_S9_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041341/SRR4041341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/001/SRR4041341/SRR4041341_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/001/SRR4041341	9	NS9
SRR4041345	SAMN05590549	SRX2032477	PRJNA328258	408170	human gut metagenome	AMPLICON	D04_S28_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041345/SRR4041345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/005/SRR4041345/SRR4041345_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/005/SRR4041345	89	NS89
SRR15540846	SAMN05590475	SRX11839005	PRJNA328258	408170	human gut metagenome	WGS	10_007_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/046/SRR15540846/SRR15540846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/046/SRR15540846/SRR15540846_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/046/SRR15540846	10	NS10
SRR15540852	SAMN05590537	SRX11838999	PRJNA328258	408170	human gut metagenome	WGS	77_001_001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/052/SRR15540852/SRR15540852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/052/SRR15540852/SRR15540852_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/052/SRR15540852	77	NS77
SRR15540856	SAMN05590530	SRX11838995	PRJNA328258	408170	human gut metagenome	WGS	70_013_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/056/SRR15540856/SRR15540856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/056/SRR15540856/SRR15540856_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/056/SRR15540856	70	NS70
SRR15540857	SAMN05590527	SRX11838994	PRJNA328258	408170	human gut metagenome	WGS	67_006_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/057/SRR15540857/SRR15540857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/057/SRR15540857/SRR15540857_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/057/SRR15540857	67	NS67
SRR15540858	SAMN05590523	SRX11838993	PRJNA328258	408170	human gut metagenome	WGS	62_013_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/058/SRR15540858/SRR15540858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/058/SRR15540858/SRR15540858_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/058/SRR15540858	62	NS62
SRR15540861	SAMN05590514	SRX11838990	PRJNA328258	408170	human gut metagenome	WGS	51_018_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/061/SRR15540861/SRR15540861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/061/SRR15540861/SRR15540861_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/061/SRR15540861	51	NS51
SRR15540862	SAMN05590510	SRX11838989	PRJNA328258	408170	human gut metagenome	WGS	46_006_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/062/SRR15540862/SRR15540862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/062/SRR15540862/SRR15540862_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/062/SRR15540862	46	NS46
SRR15540864	SAMN05590472	SRX11838987	PRJNA328258	408170	human gut metagenome	WGS	7_008_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/064/SRR15540864/SRR15540864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/064/SRR15540864/SRR15540864_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/064/SRR15540864	7	NS7
SRR15540865	SAMN05590504	SRX11838986	PRJNA328258	408170	human gut metagenome	WGS	40_005_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/065/SRR15540865/SRR15540865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/065/SRR15540865/SRR15540865_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/065/SRR15540865	40	NS40
SRR15540866	SAMN05590503	SRX11838985	PRJNA328258	408170	human gut metagenome	WGS	39_004_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/066/SRR15540866/SRR15540866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/066/SRR15540866/SRR15540866_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/066/SRR15540866	39	NS39
SRR15540871	SAMN05590494	SRX11838980	PRJNA328258	408170	human gut metagenome	WGS	30_027_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/071/SRR15540871/SRR15540871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/071/SRR15540871/SRR15540871_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/071/SRR15540871	30	NS30
SRR15540872	SAMN05590493	SRX11838979	PRJNA328258	408170	human gut metagenome	WGS	29_025_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/072/SRR15540872/SRR15540872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/072/SRR15540872/SRR15540872_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/072/SRR15540872	29	NS29
SRR15540876	SAMN05590469	SRX11838975	PRJNA328258	408170	human gut metagenome	WGS	4_001_R1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/076/SRR15540876/SRR15540876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR155/076/SRR15540876/SRR15540876_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR155/076/SRR15540876	4	NS4
SRR4041258	SAMN05590467	SRX2032390	PRJNA328258	408170	human gut metagenome	AMPLICON	174053640_S2_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/008/SRR4041258/SRR4041258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/008/SRR4041258/SRR4041258_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/008/SRR4041258	2	NS2
SRR4041262	SAMN05590479	SRX2032394	PRJNA328258	408170	human gut metagenome	AMPLICON	174053590_S15_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/002/SRR4041262/SRR4041262_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/002/SRR4041262/SRR4041262_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/002/SRR4041262	15	NS15
SRR4041269	SAMN05590468	SRX2032401	PRJNA328258	408170	human gut metagenome	AMPLICON	174053639_S3_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041269/SRR4041269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/009/SRR4041269/SRR4041269_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/009/SRR4041269	3	NS3
SRR4041273	SAMN05590489	SRX2032405	PRJNA328258	408170	human gut metagenome	AMPLICON	174053660_S25_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/003/SRR4041273/SRR4041273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR404/003/SRR4041273/SRR4041273_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR404/003/SRR4041273	25	NS25
