#Classification	N-1-POLJUN-G_bracken_F.kreport
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Lamiales|f__Lamiaceae	1
k__Eukaryota|k__Metazoa	304
k__Eukaryota|k__Metazoa|p__Chordata	304
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	304
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	304
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	304
k__Eukaryota|k__Fungi	8
k__Eukaryota|k__Fungi|p__Basidiomycota	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales	8
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Marasmiaceae	8
