# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-18-POLJUN-B/S-18-POLJUN-B_paired_1.fastq.gz -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-18-POLJUN-B/S-18-POLJUN-B_paired_2.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-18-POLJUN-B/S-18-POLJUN-B_unmatched_1.fastq.gz -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/boreal_moss/preproc/S-18-POLJUN-B/S-18-POLJUN-B_unmatched_2.fastq.gz -n S-18-POLJUN-B -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	S-18-POLJUN-B
ref_mOTU_v31_00530	Oxalobacteraceae bacterium AB_14	1158293	1
ref_mOTU_v31_00531	Duganella sp. CF517	1881038	3
ref_mOTU_v31_00781	Mesorhizobium loti	381	1
ref_mOTU_v31_01131	Methylobacterium brachiatum [Methylobacterium sp. GXF4/Methylobacterium sp. ARG-1/Methylobacterium brachiatum]	269660	1
ref_mOTU_v31_01132	Methylobacterium pseudosasicola	582667	1
ref_mOTU_v31_01133	Methylobacterium sp. GXS13	1730094	2
ref_mOTU_v31_02102	Actinoplanes globisporus	113565	1
ref_mOTU_v31_02852	Paraburkholderia fungorum [Paraburkholderia fungorum/Burkholderia sp. K24]	134537	1
ref_mOTU_v31_02853	Paraburkholderia aspalathi [Paraburkholderia aspalathi/Burkholderia sp. ST111/Burkholderia sp. OLGA172/Burkholderia sp. GAS332]	1324617	1
ref_mOTU_v31_03448	Caballeronia udeis	1232866	1
ref_mOTU_v31_03450	Caballeronia sordidicola [Burkholderia sp. PAMC 26561/Burkholderia sp. PAMC 28687/Caballeronia sordidicola]	196367	2
ref_mOTU_v31_04596	Methylibium sp. [Methylibium sp. CF468/Methylibium sp. YR605]	NA	1
ref_mOTU_v31_08446	Massilia sp. 9096	1500894	1
ref_mOTU_v31_10380	Solirubrobacterales bacterium 70-9	1895833	2
ref_mOTU_v31_11294	Granulicella pectinivorans	474950	1
ref_mOTU_v31_11649	Nostoc punctiforme	272131	3
ref_mOTU_v31_11779	Sphingomonas sp. PR090111-T3T-6A	685778	2
ext_mOTU_v31_18841	Burkholderiales species incertae sedis	NA	1
ext_mOTU_v31_29927	Acidobacteriaceae species incertae sedis	NA	5
ext_mOTU_v31_32696	Acidobacteriaceae species incertae sedis	NA	2
ext_mOTU_v31_32744	Thermoleophilia species incertae sedis	NA	1
unassigned	unassigned	NA	44
