run_accession	sample_accession	library_name	library_strategy	run_alias	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title
SRR13256661	SAMN17084080	may08	WGS	8_S7_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/061/SRR13256661/SRR13256661_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/061/SRR13256661/SRR13256661_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/061/SRR13256661	May08	Metagenome or environmental sample from metagenome
SRR13256660	SAMN17084081	may09	WGS	9_S9_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/060/SRR13256660/SRR13256660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/060/SRR13256660/SRR13256660_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/060/SRR13256660	May09	Metagenome or environmental sample from metagenome
SRR13256663	SAMN17084078	may06	WGS	6_S18_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/063/SRR13256663/SRR13256663_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/063/SRR13256663/SRR13256663_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/063/SRR13256663	May06	Metagenome or environmental sample from metagenome
SRR13256664	SAMN17084077	may05	WGS	5_S4_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/064/SRR13256664/SRR13256664_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/064/SRR13256664/SRR13256664_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/064/SRR13256664	May05	Metagenome or environmental sample from metagenome
SRR13256671	SAMN17084071	march19	WGS	mehbel19_S20_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/071/SRR13256671/SRR13256671_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/071/SRR13256671/SRR13256671_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/071/SRR13256671	March19	Metagenome or environmental sample from metagenome
SRR13256675	SAMN17084067	march15	WGS	mehbel15_S16_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/075/SRR13256675/SRR13256675_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/075/SRR13256675/SRR13256675_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/075/SRR13256675	March15	Metagenome or environmental sample from metagenome
SRR13256665	SAMN17084076	may04	WGS	4_S3_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/065/SRR13256665/SRR13256665_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/065/SRR13256665/SRR13256665_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/065/SRR13256665	May04	Metagenome or environmental sample from metagenome
SRR13256666	SAMN17084075	may03	WGS	3_S2_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/066/SRR13256666/SRR13256666_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/066/SRR13256666/SRR13256666_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/066/SRR13256666	May03	Metagenome or environmental sample from metagenome
SRR13256673	SAMN17084069	march17	WGS	mehbel17_S18_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/073/SRR13256673/SRR13256673_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/073/SRR13256673/SRR13256673_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/073/SRR13256673	March17	Metagenome or environmental sample from metagenome
SRR13256674	SAMN17084068	march16	WGS	mehbel16_S17_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/074/SRR13256674/SRR13256674_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/074/SRR13256674/SRR13256674_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/074/SRR13256674	March16	Metagenome or environmental sample from metagenome
SRR13256638	SAMN17084064	march12	WGS	mehbel12_S13_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/038/SRR13256638/SRR13256638_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/038/SRR13256638/SRR13256638_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/038/SRR13256638	March12	Metagenome or environmental sample from metagenome
SRR13256639	SAMN17084063	march11	WGS	mehbel11_S12_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/039/SRR13256639/SRR13256639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/039/SRR13256639/SRR13256639_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/039/SRR13256639	March11	Metagenome or environmental sample from metagenome
SRR13256640	SAMN17084054	march02	WGS	mehbel2_S3_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/040/SRR13256640/SRR13256640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/040/SRR13256640/SRR13256640_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/040/SRR13256640	March02	Metagenome or environmental sample from metagenome
SRR13256643	SAMN17084060	march08	WGS	mehbel8_S9_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/043/SRR13256643/SRR13256643_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/043/SRR13256643/SRR13256643_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/043/SRR13256643	March08	Metagenome or environmental sample from metagenome
SRR13256644	SAMN17084061	march09	WGS	mehbel9_S10_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/044/SRR13256644/SRR13256644_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/044/SRR13256644/SRR13256644_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/044/SRR13256644	March09	Metagenome or environmental sample from metagenome
SRR13256651	SAMN17084089	may17	WGS	17_S16_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/051/SRR13256651/SRR13256651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/051/SRR13256651/SRR13256651_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/051/SRR13256651	May17	Metagenome or environmental sample from metagenome
SRR13256652	SAMN17084088	may16	WGS	16_S15_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/052/SRR13256652/SRR13256652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/052/SRR13256652/SRR13256652_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/052/SRR13256652	May16	Metagenome or environmental sample from metagenome
SRR13256653	SAMN17084087	may15	WGS	15_S14_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/053/SRR13256653/SRR13256653_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/053/SRR13256653/SRR13256653_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/053/SRR13256653	May15	Metagenome or environmental sample from metagenome
SRR13256658	SAMN17084056	march04	WGS	mehbel4_S5_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/058/SRR13256658/SRR13256658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/058/SRR13256658/SRR13256658_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/058/SRR13256658	March04	Metagenome or environmental sample from metagenome
SRR13256662	SAMN17084079	may07	WGS	7_S6_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/062/SRR13256662/SRR13256662_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/062/SRR13256662/SRR13256662_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/062/SRR13256662	May07	Metagenome or environmental sample from metagenome
SRR13256667	SAMN17084074	may02	WGS	2_S5_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/067/SRR13256667/SRR13256667_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/067/SRR13256667/SRR13256667_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/067/SRR13256667	May02	Metagenome or environmental sample from metagenome
SRR13256668	SAMN17084073	may01	WGS	1_S1_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/068/SRR13256668/SRR13256668_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/068/SRR13256668/SRR13256668_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/068/SRR13256668	May01	Metagenome or environmental sample from metagenome
SRR13256669	SAMN17084055	march03	WGS	mehbel3_S4_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/069/SRR13256669/SRR13256669_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/069/SRR13256669/SRR13256669_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/069/SRR13256669	March03	Metagenome or environmental sample from metagenome
SRR13256670	SAMN17084072	march20	WGS	mehbel20_S21_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/070/SRR13256670/SRR13256670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/070/SRR13256670/SRR13256670_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/070/SRR13256670	March20	Metagenome or environmental sample from metagenome
SRR13256672	SAMN17084070	march18	WGS	mehbel18_S19_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/072/SRR13256672/SRR13256672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/072/SRR13256672/SRR13256672_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/072/SRR13256672	March18	Metagenome or environmental sample from metagenome
SRR13256676	SAMN17084066	march14	WGS	mehbel14_S15_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/076/SRR13256676/SRR13256676_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR132/076/SRR13256676/SRR13256676_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR132/076/SRR13256676	March14	Metagenome or environmental sample from metagenome
