#Classification	N-2-TORTOR-G_bracken_F.kreport
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	31255
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales	11484
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	8897
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Roseobacteraceae	2586
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales	421
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Maricaulales|f__Maricaulaceae	421
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	401
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales|f__Hyphomonadaceae	401
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	308
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae	308
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	91
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae	91
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	25
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	14
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Midichloriaceae	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	13
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae	13
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	12
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae	1
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	200554
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	187538
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	65336
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	101276
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	5142
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	15754
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	28
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales	7226
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Zoogloeaceae	5909
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae	1186
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Azonexaceae	130
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales	2532
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sterolibacteriaceae	1255
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Usitatibacteraceae	109
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae	111
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Sulfuricellaceae	354
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	366
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Methylophilaceae	92
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Thiobacillaceae	242
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2251
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	1647
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	603
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|f__Casimicrobiaceae	1006
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	72125
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	19331
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	18973
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Marinobacteraceae	357
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	19258
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	13012
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Rhodanobacteraceae	6246
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	16883
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	12999
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Yersiniaceae	1436
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	475
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Pectobacteriaceae	438
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	1416
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Bruguierivoracaceae	22
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae	85
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Budviciaceae	9
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales	4272
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Steroidobacteraceae	4024
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Nevskiales|f__Sinobacteraceae	248
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2730
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Aeromonadaceae	2730
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales	2644
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae	2644
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales	2244
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Halomonadaceae	1055
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Alcanivoracaceae	1102
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Oceanospirillaceae	67
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Saccharospirillaceae	13
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Hahellaceae	2
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Oceanospirillales|f__Oleiphilaceae	3
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2059
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	971
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Chromatiaceae	455
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Woeseiaceae	81
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Wenzhouxiangellaceae	30
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Thioalkalibacteraceae	191
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Thioalkalispiraceae	293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Halothiobacillaceae	24
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Granulosicoccaceae	10
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales	768
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Shewanellaceae	199
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae	230
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Pseudoalteromonadaceae	325
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Idiomarinaceae	7
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae	6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales	454
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Methylococcales|f__Methylococcaceae	454
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	380
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Legionellaceae	360
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales|f__Coxiellaceae	20
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales	352
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Vibrionales|f__Vibrionaceae	352
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales	311
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Microbulbiferaceae	64
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Cellvibrionaceae	42
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Halieaceae	152
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Spongiibacteraceae	52
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales	135
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Thiotrichaceae	16
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Piscirickettsiaceae	37
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Thiotrichales|f__Francisellaceae	81
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales	119
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Immundisolibacterales|f__Immundisolibacteraceae	119
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales	99
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Acidiferrobacterales|f__Acidiferrobacteraceae	99
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales	32
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cardiobacteriales|f__Cardiobacteriaceae	32
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales	31
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Salinisphaerales|f__Salinisphaeraceae	31
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	12
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales	1
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Kangiellales|f__Kangiellaceae	1
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	6108
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	4870
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae	2573
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Labilitrichaceae	609
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Sandaracinaceae	281
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae	523
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Archangiaceae	461
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Anaeromyxobacteraceae	206
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Vulgatibacteraceae	109
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Kofleriaceae	104
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales	438
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae	195
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Desulfuromonadaceae	196
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Syntrophotaleaceae	45
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	389
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	352
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfomicrobiaceae	36
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales	152
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales|f__Desulfarculaceae	152
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales	145
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae	120
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfosudaceae	9
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae	15
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales	83
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophobacteraceae	83
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales	18
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bradymonadales|f__Bradymonadaceae	18
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales	10
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophales|f__Syntrophaceae	10
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	130
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	108
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	51
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Arcobacteraceae	24
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Thiovulaceae	23
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae	5
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Hydrogenimonaceae	4
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales	21
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Nautiliales|f__Nitratiruptoraceae	21
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia	705
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	705
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales|f__Acidithiobacillaceae	705
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia	186
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales	186
k__Bacteria|p__Proteobacteria|c__Hydrogenophilalia|o__Hydrogenophilales|f__Hydrogenophilaceae	186
k__Bacteria|p__Proteobacteria|c__Oligoflexia	53
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	48
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae	48
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	4
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae	4
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae	1
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria	2
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales	2
k__Bacteria|p__Proteobacteria|c__Zetaproteobacteria|o__Mariprofundales|f__Mariprofundaceae	2
k__Bacteria|p__Cyanobacteria	203917
k__Bacteria|p__Cyanobacteria|o__Nostocales	197788
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	149682
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Scytonemataceae	8422
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Calotrichaceae	8107
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Hapalosiphonaceae	2343
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Aphanizomenonaceae	4985
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Rivulariaceae	3885
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Tolypothrichaceae	20361
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales	4282
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales|f__Leptolyngbyaceae	4244
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales|f__Pseudanabaenaceae	20
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales|f__Thermosynechococcaceae	12
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales|f__Prochlorotrichaceae	3
k__Bacteria|p__Cyanobacteria|o__Pseudanabaenales|f__Oculatellaceae	1
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales	721
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Oscillatoriaceae	296
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Gomontiellaceae	137
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Coleofasciculaceae	155
k__Bacteria|p__Cyanobacteria|o__Oscillatoriales|f__Microcoleaceae	132
k__Bacteria|p__Cyanobacteria|o__Chroococcales	472
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Aphanothecaceae	164
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Microcystaceae	191
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Chroococcaceae	94
k__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Geminocystaceae	21
k__Bacteria|p__Cyanobacteria|o__Synechococcales	433
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Synechococcaceae	329
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Prochlorococcaceae	60
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Chamaesiphonaceae	27
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Acaryochloridaceae	10
k__Bacteria|p__Cyanobacteria|o__Synechococcales|f__Merismopediaceae	5
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales	87
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales|f__Dermocarpellaceae	67
k__Bacteria|p__Cyanobacteria|o__Pleurocapsales|f__Hyellaceae	20
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales	62
k__Bacteria|p__Cyanobacteria|o__Chroococcidiopsidales|f__Chroococcidiopsidaceae	62
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria	54
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales	54
k__Bacteria|p__Cyanobacteria|c__Gloeobacteria|o__Gloeobacterales|f__Gloeobacteraceae	54
k__Bacteria|p__Cyanobacteria|o__Thermostichales	8
k__Bacteria|p__Cyanobacteria|o__Thermostichales|f__Thermostichaceae	8
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales	5
k__Bacteria|p__Cyanobacteria|o__Gloeomargaritales|f__Gloeomargaritaceae	5
k__Bacteria|p__Actinobacteria	117607
k__Bacteria|p__Actinobacteria|c__Actinomycetia	111845
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	85084
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	77938
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	3271
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Gordoniaceae	1395
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	2146
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Dietziaceae	182
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Tsukamurellaceae	139
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Lawsonellaceae	7
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Segniliparaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	10209
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	2906
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae	5222
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Cellulomonadaceae	417
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Intrasporangiaceae	305
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ornithinimicrobiaceae	156
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Brevibacteriaceae	369
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermabacteraceae	258
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Promicromonosporaceae	139
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Bogoriellaceae	167
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Dermacoccaceae	98
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Ruaniaceae	24
