# git tag version 3.1.0 |  motus version 3.1.0 | map_tax 3.1.0 | gene database: nr3.1.0 | calc_mgc 3.1.0 -y insert.scaled_counts -l 75 | calc_motu 3.1.0 -k mOTU -C no_CAMI -g 3 -c -p -u | taxonomy: ref_mOTU_3.1.0 meta_mOTU_3.1.0
# call: python /nfs3_ib/nfs-ip34/home/def-ilafores/programs/motu-profiler_env/bin/motus profile -f /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ17b/GQ17b_paired_1.fastq -r /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ17b/GQ17b_paired_2.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ17b/GQ17b_unmatched_1.fastq -s /nfs3_ib/nfs-ip34/home/def-ilafores/analysis/projet_PROVID19/Saliva/preproc/GQ17b/GQ17b_unmatched_2.fastq -n GQ17b -t 24 -u -c -p
#mOTU	consensus_taxonomy	NCBI_tax_id	GQ17b
ext_mOTU_v31_29454	Streptococcus species incertae sedis	NA	17
ext_mOTU_v31_29457	Streptococcus species incertae sedis	NA	1
ext_mOTU_v31_29460	Neisseria species incertae sedis	NA	4
ext_mOTU_v31_29463	Streptococcus species incertae sedis	NA	2
ext_mOTU_v31_29469	Streptococcus species incertae sedis	NA	1
ext_mOTU_v31_29471	Neisseria species incertae sedis	NA	2
ext_mOTU_v31_29472	Streptococcus species incertae sedis	NA	10
ext_mOTU_v31_29474	Streptococcus species incertae sedis	NA	10
ext_mOTU_v31_29479	Streptococcus species incertae sedis	NA	2
ext_mOTU_v31_29480	Streptococcus species incertae sedis	NA	1
ext_mOTU_v31_29483	Streptococcus species incertae sedis	NA	6
ext_mOTU_v31_29484	Streptococcus species incertae sedis	NA	8
ext_mOTU_v31_29490	Streptococcus species incertae sedis	NA	10
ext_mOTU_v31_29496	Streptococcus species incertae sedis	NA	7
ext_mOTU_v31_29497	Candidatus Saccharibacteria species incertae sedis	NA	32
ext_mOTU_v31_29506	Candidatus Saccharibacteria species incertae sedis	NA	2
ext_mOTU_v31_29508	Candidatus Saccharibacteria species incertae sedis	NA	1
ext_mOTU_v31_29510	Actinomyces species incertae sedis	NA	6
ext_mOTU_v31_29519	Candidatus Saccharibacteria species incertae sedis	NA	5
ext_mOTU_v31_29520	Candidatus Saccharibacteria species incertae sedis	NA	1
ext_mOTU_v31_29523	Candidatus Saccharibacteria species incertae sedis	NA	5
ext_mOTU_v31_29528	Candidatus Saccharibacteria species incertae sedis	NA	2
ext_mOTU_v31_29534	Bacteria species incertae sedis	NA	2
ext_mOTU_v31_29542	Candidatus Saccharibacteria species incertae sedis	NA	9
ext_mOTU_v31_29544	Candidatus Saccharibacteria species incertae sedis	NA	3
ext_mOTU_v31_29553	Candidatus Saccharibacteria species incertae sedis	NA	6
ext_mOTU_v31_29554	Candidatus Saccharibacteria species incertae sedis	NA	2
ext_mOTU_v31_29558	Candidatus Saccharibacteria species incertae sedis	NA	3
ext_mOTU_v31_29566	Bacteria species incertae sedis	NA	1
ext_mOTU_v31_29568	Candidatus Saccharibacteria species incertae sedis	NA	24
ext_mOTU_v31_29571	Candidatus Saccharibacteria species incertae sedis	NA	2
ext_mOTU_v31_29574	Candidatus Saccharibacteria species incertae sedis	NA	1
ext_mOTU_v31_29582	Campylobacter species incertae sedis	NA	1
ext_mOTU_v31_29587	Candidatus Saccharibacteria species incertae sedis	NA	1
ext_mOTU_v31_29588	Candidatus Saccharibacteria species incertae sedis	NA	1
ext_mOTU_v31_29593	Campylobacter species incertae sedis	NA	2
ext_mOTU_v31_29602	Bacteria species incertae sedis	NA	5
ext_mOTU_v31_29616	Actinomycetaceae species incertae sedis	NA	1
unassigned	unassigned	NA	330
