#Classification	S-1-DICUND-B_bracken_F.kreport
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptomycetales|f__Streptomycetaceae	2702
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales	143
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Catenulisporales|f__Catenulisporaceae	143
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales	102
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	65
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Nocardiaceae	37
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales	12
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Jatrophihabitantales|f__Jatrophihabitantaceae	12
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales	9
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Streptosporangiales|f__Streptosporangiaceae	9
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Candidatus_Nanopelagicales|f__Candidatus_Nanopelagicaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales	1
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Microbacteriaceae	1
k__Bacteria|p__Cyanobacteria	331
k__Bacteria|p__Cyanobacteria|o__Nostocales	331
k__Bacteria|p__Cyanobacteria|o__Nostocales|f__Nostocaceae	331
k__Bacteria|p__Firmicutes	1
k__Bacteria|p__Firmicutes|c__Bacilli	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	1
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	1
k__Bacteria|p__Acidobacteria	284
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	284
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	282
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	282
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	2
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Bryobacteraceae	2
k__Bacteria|p__Planctomycetes	26
k__Bacteria|p__Planctomycetes|c__Planctomycetia	26
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales	26
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Gemmatales|f__Gemmataceae	26
k__Bacteria|p__Verrucomicrobia	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	1
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales|f__Opitutaceae	1
k__Bacteria|p__Bacteroidetes	9
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	9
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales	9
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia|o__Sphingobacteriales|f__Sphingobacteriaceae	9
k__Eukaryota	287
k__Eukaryota|k__Viridiplantae	191
k__Eukaryota|k__Viridiplantae|p__Streptophyta	191
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida	185
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales	185
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Bryopsida|o__Funariales|f__Funariaceae	185
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales	6
k__Eukaryota|k__Viridiplantae|p__Streptophyta|c__Magnoliopsida|o__Caryophyllales|f__Chenopodiaceae	6
k__Eukaryota|k__Metazoa	63
k__Eukaryota|k__Metazoa|p__Chordata	63
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia	63
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates	63
k__Eukaryota|k__Metazoa|p__Chordata|c__Mammalia|o__Primates|f__Hominidae	63
k__Eukaryota|k__Fungi	32
k__Eukaryota|k__Fungi|p__Basidiomycota	20
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes	20
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	20
k__Eukaryota|k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	20
k__Eukaryota|k__Fungi|p__Ascomycota	11
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Sclerotiniaceae	6
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes	5
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	5
k__Eukaryota|k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae	5
