run_accession	study_accession	library_name	library_strategy	run_alias	fastq_ftp	sample_alias	sample_title
SRR19064413	PRJNA834801	DP061	WGS	DP061_S61_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/013/SRR19064413/SRR19064413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/013/SRR19064413/SRR19064413_2.fastq.gz	DP061	human gut metagenome
SRR19064414	PRJNA834801	DP060	WGS	DP060_S60_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/014/SRR19064414/SRR19064414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/014/SRR19064414/SRR19064414_2.fastq.gz	DP060	human gut metagenome
SRR19064415	PRJNA834801	DP057	WGS	DP057_S57_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/015/SRR19064415/SRR19064415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/015/SRR19064415/SRR19064415_2.fastq.gz	DP057	human gut metagenome
SRR19064417	PRJNA834801	DP055	WGS	DP055_S55_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/017/SRR19064417/SRR19064417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/017/SRR19064417/SRR19064417_2.fastq.gz	DP055	human gut metagenome
SRR19064423	PRJNA834801	DP049	WGS	DP049_S49_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/023/SRR19064423/SRR19064423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/023/SRR19064423/SRR19064423_2.fastq.gz	DP049	human gut metagenome
SRR19064425	PRJNA834801	DP047	WGS	DP047_S47_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064425/SRR19064425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064425/SRR19064425_2.fastq.gz	DP047	human gut metagenome
SRR19064431	PRJNA834801	DP041	WGS	DP041_S41_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/031/SRR19064431/SRR19064431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/031/SRR19064431/SRR19064431_2.fastq.gz	DP041	human gut metagenome
SRR19064435	PRJNA834801	DC201	WGS	DC201_UAB832_S92_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064435/SRR19064435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064435/SRR19064435_2.fastq.gz	DC201	human gut metagenome
SRR19064441	PRJNA834801	DC195	WGS	DC195_UAB832_S87_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/041/SRR19064441/SRR19064441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/041/SRR19064441/SRR19064441_2.fastq.gz	DC195	human gut metagenome
SRR19064442	PRJNA834801	DC194	WGS	DC194_UAB832_S86_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/042/SRR19064442/SRR19064442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/042/SRR19064442/SRR19064442_2.fastq.gz	DC194	human gut metagenome
SRR19064449	PRJNA834801	DC183	WGS	DC183_UAB832_S65_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/049/SRR19064449/SRR19064449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/049/SRR19064449/SRR19064449_2.fastq.gz	DC183	human gut metagenome
SRR19064452	PRJNA834801	DC179	WGS	DC179_UAB832_S62_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/052/SRR19064452/SRR19064452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/052/SRR19064452/SRR19064452_2.fastq.gz	DC179	human gut metagenome
SRR19064453	PRJNA834801	DC003	WGS	DC003_S16_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/053/SRR19064453/SRR19064453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/053/SRR19064453/SRR19064453_2.fastq.gz	DC003	human gut metagenome
SRR19064455	PRJNA834801	DP607	WGS	DP607_UAB832_S23_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/055/SRR19064455/SRR19064455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/055/SRR19064455/SRR19064455_2.fastq.gz	DP607	human gut metagenome
SRR19064457	PRJNA834801	DP605	WGS	DP605_UAB832_S21_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064457/SRR19064457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/057/SRR19064457/SRR19064457_2.fastq.gz	DP605	human gut metagenome
SRR19064460	PRJNA834801	DC096	WGS	DC096_S303_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/060/SRR19064460/SRR19064460_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/060/SRR19064460/SRR19064460_2.fastq.gz	DC096	human gut metagenome
SRR19064464	PRJNA834801	DP598	WGS	DP598_UAB832_S15_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/064/SRR19064464/SRR19064464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/064/SRR19064464/SRR19064464_2.fastq.gz	DP598	human gut metagenome
SRR19064465	PRJNA834801	DP597	WGS	DP597_UAB832_S14_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/065/SRR19064465/SRR19064465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/065/SRR19064465/SRR19064465_2.fastq.gz	DP597	human gut metagenome
SRR19064473	PRJNA834801	DP589	WGS	DP589_UAB832_S7_L004_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/073/SRR19064473/SRR19064473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/073/SRR19064473/SRR19064473_2.fastq.gz	DP589	human gut metagenome
SRR19064475	PRJNA834801	DP535	WGS	DP535_UAB832_S41_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/075/SRR19064475/SRR19064475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/075/SRR19064475/SRR19064475_2.fastq.gz	DP535	human gut metagenome
SRR19064477	PRJNA834801	DP532	WGS	DP532_UAB832_S39_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/077/SRR19064477/SRR19064477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/077/SRR19064477/SRR19064477_2.fastq.gz	DP532	human gut metagenome
SRR19064478	PRJNA834801	DP530	WGS	DP530_UAB832_S38_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/078/SRR19064478/SRR19064478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/078/SRR19064478/SRR19064478_2.fastq.gz	DP530	human gut metagenome
SRR19064483	PRJNA834801	DP524	WGS	DP524_UAB832_S34_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/083/SRR19064483/SRR19064483_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/083/SRR19064483/SRR19064483_2.fastq.gz	DP524	human gut metagenome
SRR19064484	PRJNA834801	DP523	WGS	DP523_UAB832_S33_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064484/SRR19064484_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/084/SRR19064484/SRR19064484_2.fastq.gz	DP523	human gut metagenome
SRR19064492	PRJNA834801	DP511	WGS	DP511_UAB832_S26_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064492/SRR19064492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/092/SRR19064492/SRR19064492_2.fastq.gz	DP511	human gut metagenome
SRR19064494	PRJNA834801	DP508	WGS	DP508_UAB832_S17_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064494/SRR19064494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/094/SRR19064494/SRR19064494_2.fastq.gz	DP508	human gut metagenome
SRR19064497	PRJNA834801	DP434	WGS	DP434_UAB832_S29_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/097/SRR19064497/SRR19064497_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/097/SRR19064497/SRR19064497_2.fastq.gz	DP434	human gut metagenome
SRR19064498	PRJNA834801	DP432	WGS	DP432_UAB832_S28_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/098/SRR19064498/SRR19064498_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/098/SRR19064498/SRR19064498_2.fastq.gz	DP432	human gut metagenome
SRR19064499	PRJNA834801	DP431	WGS	DP431_UAB832_S27_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/099/SRR19064499/SRR19064499_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/099/SRR19064499/SRR19064499_2.fastq.gz	DP431	human gut metagenome
SRR19064500	PRJNA834801	DP436	WGS	DP436_UAB832_S30_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/000/SRR19064500/SRR19064500_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/000/SRR19064500/SRR19064500_2.fastq.gz	DP436	human gut metagenome
SRR19064503	PRJNA834801	DP428	WGS	DP428_UAB832_S25_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/003/SRR19064503/SRR19064503_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/003/SRR19064503/SRR19064503_2.fastq.gz	DP428	human gut metagenome
SRR19064506	PRJNA834801	DP423	WGS	DP423_UAB832_S22_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/006/SRR19064506/SRR19064506_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/006/SRR19064506/SRR19064506_2.fastq.gz	DP423	human gut metagenome
SRR19064509	PRJNA834801	DP419	WGS	DP419_UAB832_S19_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/009/SRR19064509/SRR19064509_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/009/SRR19064509/SRR19064509_2.fastq.gz	DP419	human gut metagenome
SRR19064510	PRJNA834801	DP418	WGS	DP418_UAB832_S18_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/010/SRR19064510/SRR19064510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/010/SRR19064510/SRR19064510_2.fastq.gz	DP418	human gut metagenome
SRR19064511	PRJNA834801	DP416	WGS	DP416_UAB832_S17_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/011/SRR19064511/SRR19064511_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/011/SRR19064511/SRR19064511_2.fastq.gz	DP416	human gut metagenome
SRR19064512	PRJNA834801	DP415	WGS	DP415_UAB832_S16_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/012/SRR19064512/SRR19064512_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/012/SRR19064512/SRR19064512_2.fastq.gz	DP415	human gut metagenome
SRR19064513	PRJNA834801	DC075	WGS	DC075_S282_L003_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/013/SRR19064513/SRR19064513_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/013/SRR19064513/SRR19064513_2.fastq.gz	DC075	human gut metagenome
SRR19064520	PRJNA834801	DP335	WGS	DP335_UAB832_S18_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/020/SRR19064520/SRR19064520_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/020/SRR19064520/SRR19064520_2.fastq.gz	DP335	human gut metagenome
SRR19064522	PRJNA834801	DP333	WGS	DP333_UAB832_S16_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/022/SRR19064522/SRR19064522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/022/SRR19064522/SRR19064522_2.fastq.gz	DP333	human gut metagenome
SRR19064524	PRJNA834801	DP331	WGS	DP331_UAB832_S14_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/024/SRR19064524/SRR19064524_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/024/SRR19064524/SRR19064524_2.fastq.gz	DP331	human gut metagenome
SRR19064525	PRJNA834801	DP327	WGS	DP327_UAB832_S12_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064525/SRR19064525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/025/SRR19064525/SRR19064525_2.fastq.gz	DP327	human gut metagenome
SRR19064526	PRJNA834801	DP326	WGS	DP326_UAB832_S11_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/026/SRR19064526/SRR19064526_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/026/SRR19064526/SRR19064526_2.fastq.gz	DP326	human gut metagenome
SRR19064527	PRJNA834801	DP324	WGS	DP324_UAB832_S10_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/027/SRR19064527/SRR19064527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/027/SRR19064527/SRR19064527_2.fastq.gz	DP324	human gut metagenome
SRR19064529	PRJNA834801	DP323	WGS	DP323_UAB832_S9_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/029/SRR19064529/SRR19064529_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/029/SRR19064529/SRR19064529_2.fastq.gz	DP323	human gut metagenome
SRR19064532	PRJNA834801	DP321	WGS	DP321_UAB832_S7_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/032/SRR19064532/SRR19064532_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/032/SRR19064532/SRR19064532_2.fastq.gz	DP321	human gut metagenome
SRR19064533	PRJNA834801	DP320	WGS	DP320_UAB832_S6_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/033/SRR19064533/SRR19064533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/033/SRR19064533/SRR19064533_2.fastq.gz	DP320	human gut metagenome
SRR19064535	PRJNA834801	DP489	WGS	DP489_UAB832_S91_L002_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064535/SRR19064535_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR190/035/SRR19064535/SRR19064535_2.fastq.gz	DP489	human gut metagenome
