feature	Akkermansia	Alistipes	Anaerostipes	Bacteroides	Bifidobacterium	Blautia	Collinsella	Coprococcus	Dialister	Dorea	Eubacterium	Faecalibacterium	Firmicutes.unclassified	Fusicatenibacter	Gemmiger	Intestinibacter	Lachnospiraceae.unclassified	Lactobacillus	Parabacteroides	Prevotella	Roseburia	Ruminococcus	Ruthenibacterium	Streptococcus
NS38	0.0882352941176471	0	0	0.235294117647059	0.352941176470588	0	0.0294117647058824	0	0	0.0294117647058824	0	0.0882352941176471	0.0294117647058824	0	0.0294117647058824	0	0.0588235294117647	0	0	0	0	0.0588235294117647	0	0
NS39	0	0.0882352941176471	0	0.0588235294117647	0.205882352941176	0	0.0588235294117647	0.0294117647058824	0	0.0294117647058824	0.0882352941176471	0.352941176470588	0	0	0.0588235294117647	0	0	0	0	0	0.0294117647058824	0	0	0
NS4	0	0	0	0.264705882352941	0.147058823529412	0	0	0	0	0	0.235294117647059	0.176470588235294	0	0	0	0	0.0588235294117647	0	0	0	0.117647058823529	0	0	0
NS40	0	0	0	0.032258064516129	0.129032258064516	0.032258064516129	0.0967741935483871	0.0645161290322581	0	0.0645161290322581	0.0967741935483871	0.161290322580645	0	0	0	0	0.0645161290322581	0.0645161290322581	0.0645161290322581	0.032258064516129	0.0645161290322581	0	0.032258064516129	0
NS41	0	0.0571428571428571	0	0.114285714285714	0	0	0	0.0285714285714286	0	0.0285714285714286	0	0.142857142857143	0	0	0	0	0.0857142857142857	0	0.0285714285714286	0.457142857142857	0.0571428571428571	0	0	0
NS46	0	0	0	0.176470588235294	0.147058823529412	0.0294117647058824	0	0.205882352941176	0	0.0588235294117647	0.176470588235294	0	0	0	0	0	0	0	0	0	0.0588235294117647	0.147058823529412	0	0
NS51	0	0	0.0571428571428571	0.0285714285714286	0.257142857142857	0.0571428571428571	0.0571428571428571	0	0	0	0.0571428571428571	0.0285714285714286	0	0.114285714285714	0.0285714285714286	0.0285714285714286	0.0285714285714286	0	0	0	0.0857142857142857	0.171428571428571	0	0
NS55	0	0	0.0857142857142857	0.0571428571428571	0.0571428571428571	0.0571428571428571	0	0.0285714285714286	0	0.0285714285714286	0.0571428571428571	0.171428571428571	0	0.0285714285714286	0	0	0.0571428571428571	0	0	0	0.142857142857143	0.228571428571429	0	0
NS58	0	0	0.0606060606060606	0	0.151515151515152	0.151515151515152	0.0303030303030303	0.0303030303030303	0	0.0909090909090909	0	0.0303030303030303	0	0.0909090909090909	0	0	0.242424242424242	0	0	0	0.0909090909090909	0	0	0.0303030303030303
NS6	0	0	0.09375	0.40625	0	0.0625	0	0	0	0.0625	0.125	0.21875	0	0.03125	0	0	0	0	0	0	0	0	0	0
NS62	0	0	0.0606060606060606	0	0.0606060606060606	0.151515151515152	0	0	0	0.0303030303030303	0.0606060606060606	0	0.0303030303030303	0.0909090909090909	0	0	0.242424242424242	0	0	0	0	0.272727272727273	0	0
NS67	0.0333333333333333	0	0	0	0.4	0.166666666666667	0.0333333333333333	0	0.0666666666666667	0.0666666666666667	0.0333333333333333	0.0333333333333333	0	0	0.0333333333333333	0	0	0	0	0	0.0333333333333333	0.1	0	0
NS7	0	0	0	0	0.205882352941176	0	0.176470588235294	0	0	0.0294117647058824	0.117647058823529	0.176470588235294	0	0.0294117647058824	0	0	0.0294117647058824	0.117647058823529	0	0.0588235294117647	0.0294117647058824	0.0294117647058824	0	0
NS70	0	0	0	0.0857142857142857	0.0857142857142857	0.0571428571428571	0.0285714285714286	0.0285714285714286	0	0	0.114285714285714	0.0571428571428571	0	0.0285714285714286	0	0	0.4	0	0	0.0571428571428571	0	0	0	0.0571428571428571
NS71	0.032258064516129	0	0	0.032258064516129	0.290322580645161	0.161290322580645	0.032258064516129	0	0	0.032258064516129	0.0645161290322581	0.032258064516129	0	0.032258064516129	0	0	0	0	0	0	0	0.258064516129032	0.032258064516129	0
NS72	0	0	0	0	0.314285714285714	0.0285714285714286	0.114285714285714	0	0	0.0571428571428571	0.0571428571428571	0	0	0.0857142857142857	0	0	0.0857142857142857	0.257142857142857	0	0	0	0	0	0
NS77	0	0.0357142857142857	0	0.142857142857143	0	0.0714285714285714	0	0	0	0.0357142857142857	0.107142857142857	0.214285714285714	0.0357142857142857	0	0	0	0	0	0.0357142857142857	0.285714285714286	0.0357142857142857	0	0	0
NS78	0	0	0	0	0.172413793103448	0	0.0344827586206897	0.206896551724138	0	0.103448275862069	0.137931034482759	0	0.0344827586206897	0.0689655172413793	0	0	0.172413793103448	0	0	0	0.0689655172413793	0	0	0
NS79	0	0	0.0294117647058824	0.0588235294117647	0.205882352941176	0.0294117647058824	0.0294117647058824	0	0	0.0588235294117647	0.117647058823529	0.176470588235294	0	0.0588235294117647	0	0	0	0	0	0	0	0.235294117647059	0	0
NS81	0	0	0.181818181818182	0	0.0909090909090909	0	0	0.0303030303030303	0	0.0909090909090909	0.121212121212121	0.0606060606060606	0	0	0	0.0606060606060606	0.242424242424242	0	0	0	0.0303030303030303	0.0909090909090909	0	0
NS83	0	0.0357142857142857	0	0	0	0.0357142857142857	0.107142857142857	0	0	0.0714285714285714	0.0714285714285714	0.214285714285714	0	0	0	0	0	0.0357142857142857	0	0.0714285714285714	0.214285714285714	0.0714285714285714	0	0.0714285714285714
NS86	0	0.0571428571428571	0.0857142857142857	0	0.114285714285714	0.0857142857142857	0.0285714285714286	0.142857142857143	0	0	0	0.314285714285714	0	0.0285714285714286	0	0	0.0571428571428571	0	0	0	0.0571428571428571	0.0285714285714286	0	0
NS9	0	0.0285714285714286	0.0571428571428571	0.142857142857143	0	0	0	0.0285714285714286	0	0.0285714285714286	0.285714285714286	0.171428571428571	0	0.114285714285714	0	0	0.0285714285714286	0	0	0	0.0571428571428571	0.0571428571428571	0	0
